model,persona_gender_slope
llama2_7b,0.0135435987702293
llama2_7b_chat,-0.0620037131434589
llama2_13b,0.0180496621985699
llama2_13b_chat,0.228268078794341
llama3_8b,0.12659646331409
llama3_8b_instruct,0.0881376544113073
llama3.1_8b,0.1965959639059325
llama3.1_8b_instruct,0.1933191454688347
mistral_7b_v01,0.0378928129909204
mistral_7b_plus,0.1101808295607574
qwen1.5_7b,-0.0003671088035144
qwen1.5_7b_chat,0.3275039843133269
qwen2_7b,0.1210127296510889
qwen2_7b_instruct,0.0419511613868126
gpt3.5,1.7683394503531344
gpt4,1.5265242681699145
gpt4o_mini,1.9732474935405502
