model,persona_age_slope
llama2_7b,0.2366064702210551
llama2_7b_chat,-0.3527518887621343
llama2_13b,0.2877160507113799
llama2_13b_chat,-0.0459437353365333
llama3_8b,0.354290880130868
llama3_8b_instruct,0.2199789061322887
llama3.1_8b,0.682052992961536
llama3.1_8b_instruct,0.1950429410878409
mistral_7b_v01,0.2362620805441357
mistral_7b_plus,0.3584343184313051
qwen1.5_7b,0.0729568006199015
qwen1.5_7b_chat,-0.030876686971308
qwen2_7b,-0.154910781549323
qwen2_7b_instruct,-0.5556404571772963
gpt3.5,1.9160657784282915
gpt4,0.8371790180589335
gpt4o_mini,1.6047482726705267
