model,persona_gender_slope
llama2_7b,0.0103815565938961
llama2_7b_chat,-0.279877093023969
llama2_13b,0.0116695039475148
llama2_13b_chat,0.084084562943389
llama3_8b,-0.0255863446038948
llama3_8b_instruct,0.0052245102514476
llama3.1_8b,0.1015927615606417
llama3.1_8b_instruct,0.0441187680214062
mistral_7b_v01,0.0118280879413957
mistral_7b_plus,0.1066700778288186
qwen1.5_7b,-0.0380145984889836
qwen1.5_7b_chat,-0.3580484881513224
qwen2_7b,-0.0470249730363402
qwen2_7b_instruct,-1.0058421992883873
gpt3.5,2.0852892756040875
gpt4,1.6222573073489226
gpt4o_mini,1.9473010493704392
